Full Name,Abbrev Name,X coordinate,Y coordinate,Diameter
Barking and Dageham,BARK,1246,365,162
Barnet,BARN,675,96,204
Bexley,BEXL,1322,514,199
Brent,BREN,627,313,129
Bromley,BROM,1129,698,349
Camden,CAMD,782,350,102
City of London,CITY,951,448,59
Croydon,CROY,898,742,213
Ealing,EALI,498,431,177
Enfield,ENFI,900,27,218
Greenwich,GWCH,1126,491,170
Hackney,HACK,984,359,89
Hammersmith and Fulham,HAMM,670,526,129
Haringey,HRGY,886,260,111
Harrow,HRRW,439,136,218
Havering,HAVE,1361,136,304
Hillingdon,HILL,255,309,250
Hounslow,HOUN,375,581,158
Islington,ISLI,898,389,63
Kensington and Chelsea,KENS,756,452,81
Kingston upon Thames,KING,609,810,126
Lambeth,LAMB,904,623,110
Lewisham,LEWS,1033,623,113
Merton,MERT,714,679,165
Newham,NEWH,1101,365,127
Redbridge,REDB,1131,155,219
Richmond upon Thames,RICH,534,629,173
Southwark,STHW,955,515,99
Sutton,SUTT,738,858,162
Tower Hamlets,TOWH,1040,460,80
Waltham Forest,WALT,1033,256,93
Wandsworth,WAND,803,585,97
Westminster,WSTM,842,484,97
